user_pseudo_id,diff_cnt_fail,diff_cnt_retry,diff_cnt_level_up,diff_max_level,diff_num_distinct_levels,diff_max_score,diff_mean_score,diff_cnt_scores
5805D47F03137321BF07BFA22CA09B73,22,22,21,26,23,21,4.142857142857142,21
5558FE9EAD95706AE24CB71073CFAFB0,0,20,21,21,21,20,6.666666666666667,21
AD50FCCF085C18D3B12AEE30A3519CBC,0,0,3,14,4,16,13.0,3
6A8DE529CDDEC5B0B170929B2444A588,7,34,27,28,28,21,5.0,27
F7315948D2F8A7F3D0BF37187D3BA8AF,2,17,16,16,16,21,7.25,16
5BA2B0B18E94EA7EABE532297E83F0BE,23,51,30,31,32,21,4.787878787878787,33
1833832D556B8B02AC2A24E942724BD0,0,12,12,26,13,12,5.083333333333333,12
310D44D95961BF9754C9948AF6F437EA,15,30,19,20,21,21,4.45,20
171871CA6AF9A891FB7B3E19CD144B2E,0,10,10,20,12,21,3.7,10
5DE4C3F6AA9E3D2D91EE22CF1ED0B0F3,0,0,23,24,25,21,5.387096774193547,31
129A4D1E56C8492D05A69F135179D60E,0,12,12,19,13,16,6.333333333333333,12
59DFECDD0FBC66E32D323B2BED44F806,0,3,4,12,4,15,5.5,4
55013EAB1765F0ECB8056EA88FF7FA8D,17,43,30,31,32,21,4.644444444444447,45
002288BF9DAFD631E43113E80D0BD001,0,10,10,28,11,11,4.1,10
3DFC3A755FB6E6BDE49250DF5D6FF180,0,19,20,16,16,21,7.7,20
5652FE8F7347A1AEDC7543F7AD642C30,0,3,3,12,4,16,5.666666666666666,3
4A6348184AA3879C063C09309E43A335,2,25,23,31,25,21,6.16,25
BD2A511409EB3EBC45D4CEB4F876ED49,89,88,19,20,20,18,3.684210526315789,19
A597F7A410BF0E7390E4C49AFEE32436,5,28,23,24,24,21,5.826086956521739,23
5303E927F0771D29F4DE954A5C3388A1,0,0,1,21,2,2,2.0,1
4481D63B22935FD22AA6C3D639A8FC29,5,2,8,16,10,11,3.928571428571429,14
933A379D75E03C0CC1316F4956C9240F,0,0,0,17,1,,,0
A14518C766440EB6F1E2F2105CDE37F9,2,17,15,17,17,21,6.0625,16
1E25AACE69476FB5E63EA9019E0A90AD,2,2,25,26,26,21,6.079999999999999,25
192440EC48EB5C30C261D16F03D7D229,4,22,18,19,19,21,6.333333333333335,18
A4117B7FFD626BDC5058946207E68BE2,0,2,2,22,3,12,8.5,2
3E0ECCCA5011744BE8F7E198A44175FC,0,4,4,13,5,16,7.75,4
DC16CFBE43A591C7D18D4BE0BBC2E6CE,0,4,4,20,8,21,9.5,4
4A47A98F4565C38DBABBE20B803D7FFB,4,29,24,26,25,21,6.791666666666666,24
4FD9D8CC8CDC35E591A3EAB269D83A3C,47,66,19,20,20,21,4.157894736842106,19
B215751EAC030DECC9124D90D2AC41A9,2,7,6,28,6,9,4.833333333333333,6
1DC9B625F2C4F54E9281D4D19F9FEBBB,0,25,25,26,26,21,6.2,25
DC563C1019AEA52C1F3698D279696AF7,0,4,4,23,5,11,7.5,4
A6A77DA8F2C4102A83EED1D5216EB318,9,31,23,24,25,21,5.25,24
