user_pseudo_id,nav_screen_views,nav_distinct_categories,nav_transitions,nav_distinct_transitions,nav_self_loops,nav_cnt_game_over,nav_cnt_shop,nav_cnt_steps,nav_cnt_ad,nav_cnt_level_select
32B7138CEF081FCD4CBAF89F26F58A23,1,1,0,0,0,0,0,0,0,0
42027F671DAEB3EBEC8ADEE88EDD9D3B,16,4,0,0,0,2,0,0,0,3
951B49BD60BD562C623C8EC62C928E3B,8,4,0,0,0,1,1,0,0,0
6FCAF6470E5521E723C20CD55C4BC150,107,6,0,0,0,7,9,0,5,15
FDA47F17691319BAA33FA75E17D293F8,28,5,0,0,0,3,0,0,1,2
3B6AAC03208203A03577FAA6D34F5784,2,1,0,0,0,0,0,0,0,0
CEDECA239844E534347CA2830363B3F1,18,4,0,0,0,3,2,0,0,0
8E9E8510326C7CACF235E2E7FFB938D0,30,4,0,0,0,4,0,0,0,3
B636FB109A1214CE29A9875318B30031,4,2,0,0,0,0,0,0,0,0
0775BE736354EE4B58F55B003A7F15D9,26,5,0,0,0,4,1,0,0,1
8E69F027711B0F68FB6B3640142C6A31,39,5,0,0,0,6,1,0,0,2
C0743A2F03090C1DD1B53323E332C5DB,75,5,0,0,0,14,3,0,0,2
263560B8229A39CDDD89A0B1018FD39A,20,6,0,0,0,2,2,0,0,1
E37D4BF1A19A21E8AE145402DDEC1CBA,16,3,0,0,0,2,0,0,0,0
6B8035863BA8F90EDD28470F84922BB2,72,7,0,0,0,8,1,0,3,2
2D4660CA182ACFAB37A5CDC0D78C4C37,23,4,0,0,0,6,2,0,0,0
8CD17D401092A32135F5D22B946E7E0E,80,7,0,0,0,16,1,0,4,3
2018EEC4A9703801F46AE4AA8A9C34B6,60,6,0,0,0,12,1,0,6,1
FAEA07149EE8523C04E709B824F233B3,20,4,0,0,0,2,2,0,0,0
53B99AF8D463E4FB9FA1DD1D94043B9D,31,4,0,0,0,4,0,0,0,3
20C5DC800ABA240511EEBCBBA9354199,46,4,0,0,0,11,2,0,0,0
1F7CE7823F7646EF6FF99B4B01EC9AD1,51,5,0,0,0,10,0,0,4,1
2BBF8D3CC51EDC5B46575A4E51B101A9,63,6,0,0,0,14,2,0,0,2
1C679E92B10C3EEDDD36467BE24D7449,28,4,0,0,0,5,2,0,0,0
7548882CCAE499A1BFC892A5F55DECAA,25,4,0,0,0,5,0,0,0,5
D629A9BF98361EC8E38C1FFD1C6719D7,9,4,0,0,0,3,1,0,0,0
90E3B53E207BD7F0C27E9EF9561D4493,61,6,0,0,0,12,2,0,5,2
E451D416F972019604F1456533FF3858,40,5,0,0,0,6,0,0,0,2
B86649CE03429A1DDA7F2D4912163FDF,24,5,0,0,0,4,2,0,0,2
25160B7A68C44401B28B1CE53B758D93,27,5,0,0,0,4,1,0,0,1
A7E48DA91E412FC9E2F583EBFEF1B3FB,6,3,0,0,0,0,1,0,0,0
E53712CD908262E5D764F35F44F405A9,53,3,0,0,0,9,7,0,0,0
DA639DF6D264E4275E3BC857EACF19F1,25,5,0,0,0,4,0,0,1,2
0C611C1398A0F44AD6ED17C123271BC1,9,3,0,0,0,1,0,0,0,0
70A76F710D0E358A6F1B76806A12B84D,8,4,0,0,0,0,1,0,0,1
DF38363C91C4581FF6BCEE26C8FC5348,3,1,0,0,0,0,0,0,0,0
F470625FCD13350142D1FAB619BEDE53,23,4,0,0,0,4,0,0,0,2
8848A569EFE0BC12352952A9679A4949,8,2,0,0,0,0,0,0,0,0
AFE22459EBDA201861C54CDFF294D8F9,18,3,0,0,0,0,0,0,2,0
315E89B78083B26B86E87061F968089D,20,5,0,0,0,2,1,0,0,1
6481530D0694D6B70232731EE4754757,2,1,0,0,0,0,0,0,0,0
89287FCAF9B265B2CA762EF9A7534926,12,5,0,0,0,2,0,1,1,0
8CF48208157796E9E6A7222C73A3C5FA,12,3,0,0,0,3,0,0,0,0
EED3F010772922A499BCC8308C0E4DC6,272,5,0,0,0,89,0,41,2,0
561D80F721239ACF629677E30C361006,17,4,0,0,0,4,0,1,0,0
CDC216721B826DCD883CF80C433FF8ED,19,4,0,0,0,2,0,1,0,0
2A6418C893DC4180E73D0F1EB4E5562B,21,5,0,0,0,2,0,0,0,1
1F70E251D6247C316CA59F775EEA0964,5,2,0,0,0,0,0,0,0,0
B5757035DC9D6432C5CD761AC124AFAC,9,4,0,0,0,1,0,1,0,0
AC00023336091A03FF1E114D803583E8,5,2,0,0,0,0,0,0,0,0
5C3C00E3E4EF4918AE82CBBAB09DE794,20,7,0,0,0,1,0,1,0,1
26A2118C6B7E9499EF9FDD254057AA62,51,5,0,0,0,8,0,5,0,0
22562B4EAEB582AABDEC394CDA2B3023,59,4,0,0,0,21,0,3,0,0
8FEEFD188BEA7318BECEBD9811F0626C,24,6,0,0,0,1,0,2,0,1
991C36DA40ED9BA7BDEC650C2CB17A77,12,5,0,0,0,1,0,0,0,1
A878D073C2BA5201CD00FE73126C9145,52,5,0,0,0,8,0,0,0,1
1AD872561C6D6A28BA60CCA8F6376CD5,10,4,0,0,0,1,0,1,0,0
CEFD144271FD7F31E1D2D02609AD23EA,306,7,0,0,0,67,0,33,11,5
56E85878CF2E3C60F600FFDC3AB85F40,12,3,0,0,0,3,0,0,0,0
7BEC6B06860D25AE7E44CA49AB939BBF,8,3,0,0,0,1,0,0,0,0
145276BACC15492FB7CFA87C5B405873,36,4,0,0,0,8,0,6,0,0
18FB18991DED4AC857859A5C3BC7A1DC,16,4,0,0,0,3,0,1,0,0
